"pop2024","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
83406,90707,-0.01972,"San Leandro",13.341,37.7034,-122.163,"san-leandro-ca","CA",-122.163,37.7034,99,6252
82828,87006,-0.00997,"Whittier",14.649,33.9668,-118.02,"whittier-ca","CA",-118.02,33.9668,100,5654
82553,85208,-0.00865,"Newport Beach",23.815,33.5971,-117.89,"newport-beach-ca","CA",-117.89,33.5971,101,3466
81669,87804,-0.01741,"Hawthorne",6.083,33.9148,-118.348,"hawthorne-ca","CA",-118.348,33.9148,102,13426
81448,83862,-0.00611,"Buena Park",10.519,33.8574,-118.007,"buena-park-ca","CA",-118.007,33.8574,103,7743
81374,79503,0.00479,"Rancho Cordova",35.021,38.5771,-121.236,"rancho-cordova-ca","CA",-121.236,38.5771,104,2324
81327,87880,-0.02032,"Livermore",27.023,37.6855,-121.763,"livermore-ca","CA",-121.763,37.6855,105,3010
81139,78861,0.00543,"Perris",31.561,33.7902,-117.221,"perris-ca","CA",-117.221,33.7902,106,2571
79827,82430,-0.00766,"Mountain View",11.991,37.3997,-122.079,"mountain-view-ca","CA",-122.079,37.3997,107,6657
79392,76605,0.0116,"Pittsburg",17.64,38.0168,-121.897,"pittsburg-ca","CA",-121.897,38.0168,108,4501
78492,84131,-0.0127,"Redwood City",19.266,37.5153,-122.214,"redwood-city-ca","CA",-122.214,37.5153,109,4074
78441,82657,-0.01146,"Alhambra",7.631,34.0836,-118.136,"alhambra-ca","CA",-118.136,34.0836,110,10279
78144,75642,0,"Carmichael",13.451,38.6352,-121.323,"carmichael-ca","CA",-121.323,38.6352,111,5810
77993,79120,-0.00541,"Upland",15.611,34.1161,-117.66,"upland-ca","CA",-117.66,34.1161,112,4996
77235,79039,-0.00694,"Napa",17.956,38.2972,-122.301,"napa-ca","CA",-122.301,38.2972,113,4301
76778,80127,-0.00621,"Milpitas",13.653,37.4339,-121.892,"milpitas-ca","CA",-121.892,37.4339,114,5624
76689,78468,-0.00815,"Chino Hills",44.683,33.943,-117.726,"chino-hills-ca","CA",-117.726,33.943,115,1716
76562,79896,-0.01198,"Tustin",11.118,33.7309,-117.811,"tustin-ca","CA",-117.811,33.7309,116,6886
76243,82213,-0.01816,"Lakewood",9.412,33.8471,-118.122,"lakewood-ca","CA",-118.122,33.8471,117,8101
75628,78044,-0.00272,"Alameda",10.449,37.7419,-122.26,"alameda-ca","CA",-122.26,37.7419,118,7238
75518,62885,0.0999,"Santa Cruz",12.74,36.9744,-122.035,"santa-cruz-ca","CA",-122.035,36.9744,119,5928
75407,71861,0.01038,"Rocklin",19.81,38.8069,-121.25,"rocklin-ca","CA",-121.25,38.8069,120,3807
75285,75874,-0.00385,"Apple Valley",74.926,34.5334,-117.21,"apple-valley-ca","CA",-117.21,34.5334,121,1005
74471,73257,0.00419,"Redlands",35.858,34.0535,-117.17,"redlands-ca","CA",-117.17,34.0535,122,2077
